timestamp,raw
2022-10-14-11-14-54-28952,1.0
2022-10-14-11-14-54-29033,1.0
2022-10-14-11-14-54-29056,1.0
2022-10-14-11-14-54-29071,1.0
2022-10-14-11-14-54-29089,1.0
2022-10-14-11-14-54-29107,1.0
2022-10-14-11-14-54-29122,1.0
2022-10-14-11-14-54-29139,1.0
2022-10-14-11-14-54-29153,1.0
2022-10-14-11-14-55-29173,1.0
2022-10-14-11-14-55-29190,1.0
2022-10-14-11-14-55-29204,1.0
2022-10-14-11-14-55-29222,1.0
2022-10-14-11-14-55-29240,1.0
2022-10-14-11-14-55-29256,1.0
2022-10-14-11-14-55-29273,1.0
2022-10-14-11-14-55-29287,1.0
2022-10-14-11-14-55-29303,1.0
2022-10-14-11-14-55-29322,1.0
2022-10-14-11-14-55-29339,1.0
2022-10-14-11-14-55-29356,1.0
2022-10-14-11-14-55-29370,1.0
2022-10-14-11-14-55-29386,1.0
2022-10-14-11-14-55-29403,1.0
2022-10-14-11-14-55-29420,1.0
2022-10-14-11-14-55-29439,1.0
2022-10-14-11-14-55-29455,1.0
2022-10-14-11-14-55-29470,1.0
2022-10-14-11-14-55-29487,1.0
2022-10-14-11-14-55-29503,1.0
2022-10-14-11-14-55-29522,1.0
2022-10-14-11-14-55-29543,1.0
2022-10-14-11-14-55-29560,1.0
2022-10-14-11-14-55-29576,1.0
2022-10-14-11-14-55-29593,1.0
2022-10-14-11-14-55-29607,1.0
2022-10-14-11-14-55-29624,1.0
2022-10-14-11-14-55-29641,1.0
2022-10-14-11-14-55-29658,1.0
2022-10-14-11-14-55-29674,1.0
2022-10-14-11-14-55-29692,1.0
2022-10-14-11-14-55-29725,1.0
2022-10-14-11-14-55-29739,1.0
2022-10-14-11-14-55-29756,1.0
2022-10-14-11-14-55-29772,1.0
2022-10-14-11-14-55-29788,1.0
2022-10-14-11-14-55-29804,1.0
2022-10-14-11-14-55-29822,1.0
2022-10-14-11-14-55-29840,1.0
2022-10-14-11-14-55-29855,1.0
2022-10-14-11-14-55-29871,1.0
2022-10-14-11-14-55-29888,1.0
2022-10-14-11-14-55-29904,1.0
2022-10-14-11-14-55-29926,1.0
2022-10-14-11-14-55-29939,1.0
2022-10-14-11-14-55-29957,1.0
2022-10-14-11-14-55-29971,1.0
2022-10-14-11-14-55-29988,1.0
2022-10-14-11-14-55-30004,1.0
2022-10-14-11-14-55-30023,1.0
2022-10-14-11-14-55-30038,1.0
2022-10-14-11-14-55-30054,1.0
2022-10-14-11-14-55-30071,1.0
2022-10-14-11-14-55-30089,1.0
2022-10-14-11-14-55-30107,1.0
2022-10-14-11-14-55-30123,1.0
2022-10-14-11-14-55-30138,1.0
2022-10-14-11-14-55-30156,1.0
2022-10-14-11-14-56-30171,1.0
2022-10-14-11-14-56-30190,1.0
2022-10-14-11-14-56-30205,1.0
2022-10-14-11-14-56-30223,1.0
2022-10-14-11-14-56-30237,1.0
2022-10-14-11-14-56-30254,1.0
2022-10-14-11-14-56-30272,1.0
2022-10-14-11-14-56-30288,1.0
2022-10-14-11-14-56-30305,1.0
2022-10-14-11-14-56-30323,1.0
2022-10-14-11-14-56-30338,1.0
2022-10-14-11-14-56-30356,1.0
2022-10-14-11-14-56-30371,1.0
2022-10-14-11-14-56-30390,1.0
2022-10-14-11-14-56-30405,1.0
2022-10-14-11-14-56-30421,1.0
2022-10-14-11-14-56-30441,1.0
2022-10-14-11-14-56-30457,1.0
2022-10-14-11-14-56-30471,1.0
2022-10-14-11-14-56-30488,1.0
2022-10-14-11-14-56-30505,1.0
2022-10-14-11-14-56-30524,1.0
2022-10-14-11-14-56-30538,1.0
2022-10-14-11-14-56-30555,1.0
2022-10-14-11-14-56-30571,1.0
2022-10-14-11-14-56-30588,1.0
2022-10-14-11-14-56-30606,1.0
2022-10-14-11-14-56-30621,1.0
2022-10-14-11-14-56-30639,1.0
2022-10-14-11-14-56-30654,1.0
2022-10-14-11-14-56-30671,1.0
2022-10-14-11-14-56-30689,1.0
2022-10-14-11-14-56-30704,1.0
2022-10-14-11-14-56-30721,1.0
2022-10-14-11-14-56-30738,1.0
2022-10-14-11-14-56-30755,1.0
2022-10-14-11-14-56-30772,1.0
2022-10-14-11-14-56-30788,1.0
2022-10-14-11-14-56-30804,1.0
2022-10-14-11-14-56-30824,1.0
2022-10-14-11-14-56-30838,1.0
2022-10-14-11-14-56-30855,1.0
2022-10-14-11-14-56-30871,1.0
2022-10-14-11-14-56-30888,1.0
2022-10-14-11-14-56-30905,1.0
2022-10-14-11-14-56-30920,1.0
2022-10-14-11-14-56-30939,1.0
2022-10-14-11-14-56-30955,1.0
2022-10-14-11-14-56-30972,0.0
2022-10-14-11-14-56-30988,0.0
2022-10-14-11-14-56-31004,0.0
2022-10-14-11-14-56-31023,0.0
2022-10-14-11-14-56-31038,0.0
2022-10-14-11-14-56-31054,0.0
2022-10-14-11-14-56-31073,0.0
2022-10-14-11-14-56-31088,0.0
2022-10-14-11-14-56-31107,0.0
2022-10-14-11-14-56-31121,0.0
2022-10-14-11-14-56-31138,0.0
2022-10-14-11-14-56-31155,0.0
2022-10-14-11-14-57-31174,0.0
2022-10-14-11-14-57-31189,0.0
2022-10-14-11-14-57-31205,0.0
2022-10-14-11-14-57-31222,0.0
2022-10-14-11-14-57-31238,0.0
2022-10-14-11-14-57-31254,0.0
2022-10-14-11-14-57-31273,0.0
2022-10-14-11-14-57-31287,0.0
2022-10-14-11-14-57-31305,0.0
2022-10-14-11-14-57-31322,0.0
2022-10-14-11-14-57-31337,0.0
2022-10-14-11-14-57-31356,0.0
2022-10-14-11-14-57-31372,0.0
2022-10-14-11-14-57-31388,0.0
2022-10-14-11-14-57-31406,0.0
2022-10-14-11-14-57-31421,0.0
2022-10-14-11-14-57-31439,0.0
2022-10-14-11-14-57-31454,0.0
2022-10-14-11-14-57-31471,0.0
2022-10-14-11-14-57-31490,0.0
2022-10-14-11-14-57-31504,0.0
2022-10-14-11-14-57-31523,0.0
2022-10-14-11-14-57-31537,0.0
2022-10-14-11-14-57-31555,0.0
2022-10-14-11-14-57-31571,0.0
2022-10-14-11-14-57-31590,0.0
2022-10-14-11-14-57-31606,0.0
2022-10-14-11-14-57-31621,0.0
2022-10-14-11-14-57-31638,0.0
2022-10-14-11-14-57-31655,0.0
2022-10-14-11-14-57-31671,0.0
2022-10-14-11-14-57-31689,0.0
2022-10-14-11-14-57-31704,0.0
2022-10-14-11-14-57-31721,0.0
2022-10-14-11-14-57-31738,0.0
2022-10-14-11-14-57-31754,0.0
2022-10-14-11-14-57-31773,0.0
2022-10-14-11-14-57-31788,0.0
2022-10-14-11-14-57-31806,0.0
2022-10-14-11-14-57-31821,0.0
2022-10-14-11-14-57-31838,0.0
2022-10-14-11-14-57-31857,0.0
2022-10-14-11-14-57-31871,0.0
2022-10-14-11-14-57-31888,0.0
2022-10-14-11-14-57-31904,0.0
2022-10-14-11-14-57-31921,0.0
2022-10-14-11-14-57-31939,0.0
2022-10-14-11-14-57-31955,0.0
2022-10-14-11-14-57-31971,1.0
2022-10-14-11-14-57-31988,1.0
2022-10-14-11-14-57-32005,1.0
2022-10-14-11-14-57-32022,1.0
2022-10-14-11-14-57-32038,1.0
2022-10-14-11-14-57-32054,1.0
2022-10-14-11-14-57-32071,1.0
2022-10-14-11-14-57-32088,1.0
2022-10-14-11-14-57-32106,1.0
2022-10-14-11-14-57-32121,1.0
2022-10-14-11-14-57-32138,1.0
2022-10-14-11-14-57-32155,1.0
2022-10-14-11-14-58-32171,1.0
2022-10-14-11-14-58-32189,1.0
2022-10-14-11-14-58-32207,1.0
2022-10-14-11-14-58-32221,1.0
2022-10-14-11-14-58-32239,1.0
2022-10-14-11-14-58-32255,1.0
2022-10-14-11-14-58-32272,1.0
2022-10-14-11-14-58-32288,1.0
2022-10-14-11-14-58-32304,1.0
2022-10-14-11-14-58-32321,1.0
2022-10-14-11-14-58-32338,1.0
2022-10-14-11-14-58-32356,1.0
2022-10-14-11-14-58-32371,1.0
2022-10-14-11-14-58-32388,1.0
2022-10-14-11-14-58-32405,1.0
2022-10-14-11-14-58-32421,1.0
2022-10-14-11-14-58-32439,1.0
2022-10-14-11-14-58-32454,1.0
2022-10-14-11-14-58-32472,1.0
2022-10-14-11-14-58-32488,1.0
2022-10-14-11-14-58-32505,1.0
2022-10-14-11-14-58-32522,1.0
2022-10-14-11-14-58-32538,1.0
2022-10-14-11-14-58-32554,1.0
2022-10-14-11-14-58-32572,1.0
2022-10-14-11-14-58-32587,1.0
2022-10-14-11-14-58-32605,1.0
2022-10-14-11-14-58-32621,1.0
2022-10-14-11-14-58-32638,1.0
2022-10-14-11-14-58-32655,1.0
2022-10-14-11-14-58-32667,1.0
2022-10-14-11-14-58-32688,1.0
2022-10-14-11-14-58-32705,1.0
2022-10-14-11-14-58-32721,1.0
2022-10-14-11-14-58-32738,1.0
2022-10-14-11-14-58-32755,1.0
2022-10-14-11-14-58-32772,1.0
2022-10-14-11-14-58-32788,1.0
2022-10-14-11-14-58-32805,1.0
2022-10-14-11-14-58-32821,1.0
2022-10-14-11-14-58-32838,1.0
2022-10-14-11-14-58-32856,1.0
2022-10-14-11-14-58-32871,1.0
2022-10-14-11-14-58-32888,1.0
2022-10-14-11-14-58-32905,1.0
2022-10-14-11-14-58-32921,1.0
2022-10-14-11-14-58-32940,0.0
2022-10-14-11-14-58-32957,0.0
2022-10-14-11-14-58-32971,0.0
2022-10-14-11-14-58-32988,0.0
2022-10-14-11-14-58-33005,0.0
2022-10-14-11-14-58-33023,0.0
2022-10-14-11-14-58-33038,0.0
2022-10-14-11-14-58-33054,0.0
2022-10-14-11-14-58-33071,0.0
2022-10-14-11-14-58-33088,0.0
2022-10-14-11-14-58-33106,0.0
2022-10-14-11-14-58-33123,0.0
2022-10-14-11-14-58-33138,0.0
2022-10-14-11-14-58-33155,0.0
2022-10-14-11-14-59-33172,0.0
2022-10-14-11-14-59-33189,0.0
2022-10-14-11-14-59-33205,0.0
2022-10-14-11-14-59-33222,0.0
2022-10-14-11-14-59-33238,0.0
2022-10-14-11-14-59-33255,0.0
2022-10-14-11-14-59-33273,0.0
2022-10-14-11-14-59-33288,0.0
2022-10-14-11-14-59-33309,0.0
2022-10-14-11-14-59-33321,0.0
2022-10-14-11-14-59-33339,0.0
2022-10-14-11-14-59-33356,0.0
2022-10-14-11-14-59-33372,0.0
2022-10-14-11-14-59-33388,0.0
2022-10-14-11-14-59-33406,0.0
2022-10-14-11-14-59-33422,0.0
2022-10-14-11-14-59-33440,0.0
2022-10-14-11-14-59-33455,0.0
2022-10-14-11-14-59-33471,0.0
2022-10-14-11-14-59-33488,0.0
2022-10-14-11-14-59-33505,0.0
2022-10-14-11-14-59-33521,0.0
2022-10-14-11-14-59-33538,0.0
2022-10-14-11-14-59-33561,0.0
2022-10-14-11-14-59-33572,0.0
2022-10-14-11-14-59-33589,0.0
2022-10-14-11-14-59-33606,0.0
2022-10-14-11-14-59-33622,0.0
2022-10-14-11-14-59-33638,0.0
2022-10-14-11-14-59-33654,0.0
2022-10-14-11-14-59-33673,0.0
2022-10-14-11-14-59-33689,0.0
2022-10-14-11-14-59-33705,0.0
2022-10-14-11-14-59-33721,0.0
2022-10-14-11-14-59-33738,0.0
2022-10-14-11-14-59-33755,0.0
2022-10-14-11-14-59-33772,0.0
2022-10-14-11-14-59-33788,0.0
2022-10-14-11-14-59-33805,0.0
2022-10-14-11-14-59-33822,0.0
2022-10-14-11-14-59-33839,0.0
2022-10-14-11-14-59-33856,0.0
2022-10-14-11-14-59-33871,1.0
2022-10-14-11-14-59-33888,1.0
2022-10-14-11-14-59-33906,1.0
2022-10-14-11-14-59-33923,1.0
2022-10-14-11-14-59-33938,1.0
2022-10-14-11-14-59-33957,1.0
2022-10-14-11-14-59-33972,1.0
2022-10-14-11-14-59-33989,1.0
2022-10-14-11-14-59-34004,1.0
2022-10-14-11-14-59-34023,1.0
2022-10-14-11-14-59-34038,1.0
2022-10-14-11-14-59-34055,1.0
2022-10-14-11-14-59-34072,1.0
2022-10-14-11-14-59-34088,1.0
2022-10-14-11-14-59-34106,1.0
2022-10-14-11-14-59-34122,1.0
2022-10-14-11-14-59-34138,1.0
2022-10-14-11-14-59-34155,1.0
2022-10-14-11-15-0-34172,1.0
2022-10-14-11-15-0-34189,1.0
2022-10-14-11-15-0-34205,1.0
2022-10-14-11-15-0-34222,1.0
2022-10-14-11-15-0-34239,1.0
2022-10-14-11-15-0-34255,1.0
2022-10-14-11-15-0-34273,1.0
2022-10-14-11-15-0-34288,1.0
2022-10-14-11-15-0-34305,1.0
2022-10-14-11-15-0-34321,1.0
2022-10-14-11-15-0-34338,1.0
2022-10-14-11-15-0-34355,1.0
2022-10-14-11-15-0-34374,1.0
2022-10-14-11-15-0-34388,1.0
2022-10-14-11-15-0-34405,1.0
2022-10-14-11-15-0-34422,1.0
2022-10-14-11-15-0-34438,1.0
2022-10-14-11-15-0-34455,1.0
2022-10-14-11-15-0-34471,1.0
2022-10-14-11-15-0-34487,0.0
2022-10-14-11-15-0-34506,0.0
2022-10-14-11-15-0-34522,0.0
2022-10-14-11-15-0-34540,0.0
2022-10-14-11-15-0-34555,0.0
2022-10-14-11-15-0-34572,0.0
2022-10-14-11-15-0-34589,0.0
2022-10-14-11-15-0-34606,0.0
2022-10-14-11-15-0-34622,0.0
2022-10-14-11-15-0-34637,0.0
2022-10-14-11-15-0-34655,0.0
2022-10-14-11-15-0-34671,0.0
2022-10-14-11-15-0-34688,0.0
2022-10-14-11-15-0-34705,0.0
2022-10-14-11-15-0-34721,0.0
2022-10-14-11-15-0-34738,0.0
2022-10-14-11-15-0-34754,0.0
2022-10-14-11-15-0-34773,0.0
2022-10-14-11-15-0-34788,0.0
2022-10-14-11-15-0-34805,0.0
2022-10-14-11-15-0-34821,0.0
2022-10-14-11-15-0-34838,0.0
2022-10-14-11-15-0-34856,0.0
2022-10-14-11-15-0-34873,0.0
2022-10-14-11-15-0-34889,0.0
2022-10-14-11-15-0-34906,0.0
2022-10-14-11-15-0-34922,0.0
2022-10-14-11-15-0-34939,0.0
2022-10-14-11-15-0-34955,0.0
2022-10-14-11-15-0-34977,0.0
2022-10-14-11-15-0-34988,0.0
2022-10-14-11-15-0-35005,0.0
2022-10-14-11-15-0-35022,0.0
2022-10-14-11-15-0-35039,0.0
2022-10-14-11-15-0-35055,0.0
2022-10-14-11-15-0-35082,0.0
2022-10-14-11-15-0-35106,0.0
2022-10-14-11-15-0-35125,0.0
2022-10-14-11-15-0-35139,0.0
2022-10-14-11-15-0-35155,0.0
2022-10-14-11-15-1-35172,0.0
2022-10-14-11-15-1-35190,0.0
2022-10-14-11-15-1-35209,0.0
2022-10-14-11-15-1-35223,0.0
2022-10-14-11-15-1-35239,0.0
2022-10-14-11-15-1-35256,0.0
2022-10-14-11-15-1-35273,0.0
2022-10-14-11-15-1-35289,0.0
2022-10-14-11-15-1-35306,0.0
2022-10-14-11-15-1-35323,0.0
2022-10-14-11-15-1-35339,1.0
2022-10-14-11-15-1-35356,1.0
2022-10-14-11-15-1-35375,1.0
2022-10-14-11-15-1-35389,1.0
2022-10-14-11-15-1-35405,1.0
2022-10-14-11-15-1-35422,1.0
2022-10-14-11-15-1-35440,1.0
2022-10-14-11-15-1-35458,1.0
2022-10-14-11-15-1-35472,1.0
2022-10-14-11-15-1-35489,1.0
2022-10-14-11-15-1-35506,1.0
2022-10-14-11-15-1-35523,1.0
2022-10-14-11-15-1-35539,1.0
2022-10-14-11-15-1-35557,1.0
2022-10-14-11-15-1-35574,0.0
2022-10-14-11-15-1-35589,0.0
2022-10-14-11-15-1-35606,0.0
2022-10-14-11-15-1-35624,0.0
2022-10-14-11-15-1-35639,0.0
2022-10-14-11-15-1-35656,0.0
2022-10-14-11-15-1-35672,0.0
2022-10-14-11-15-1-35690,0.0
2022-10-14-11-15-1-35705,0.0
2022-10-14-11-15-1-35722,1.0
2022-10-14-11-15-1-35739,1.0
2022-10-14-11-15-1-35756,1.0
2022-10-14-11-15-1-35773,1.0
2022-10-14-11-15-1-35791,1.0
2022-10-14-11-15-1-35805,1.0
2022-10-14-11-15-1-35822,1.0
2022-10-14-11-15-1-35839,1.0
2022-10-14-11-15-1-35856,1.0
2022-10-14-11-15-1-35874,1.0
2022-10-14-11-15-1-35891,1.0
2022-10-14-11-15-1-35906,0.0
2022-10-14-11-15-1-35923,0.0
2022-10-14-11-15-1-35939,0.0
2022-10-14-11-15-1-35958,0.0
2022-10-14-11-15-1-35973,0.0
2022-10-14-11-15-1-35989,0.0
2022-10-14-11-15-1-36006,0.0
2022-10-14-11-15-1-36025,0.0
2022-10-14-11-15-1-36042,0.0
2022-10-14-11-15-1-36056,0.0
2022-10-14-11-15-1-36074,0.0
2022-10-14-11-15-1-36089,0.0
2022-10-14-11-15-1-36108,0.0
2022-10-14-11-15-1-36122,0.0
2022-10-14-11-15-1-36140,0.0
2022-10-14-11-15-1-36156,0.0
2022-10-14-11-15-2-36173,0.0
2022-10-14-11-15-2-36189,0.0
2022-10-14-11-15-2-36206,0.0
2022-10-14-11-15-2-36223,0.0
2022-10-14-11-15-2-36239,0.0
2022-10-14-11-15-2-36266,0.0
2022-10-14-11-15-2-36290,0.0
2022-10-14-11-15-2-36307,0.0
2022-10-14-11-15-2-36322,0.0
2022-10-14-11-15-2-36338,0.0
2022-10-14-11-15-2-36355,0.0
2022-10-14-11-15-2-36372,0.0
2022-10-14-11-15-2-36389,0.0
2022-10-14-11-15-2-36406,0.0
2022-10-14-11-15-2-36422,0.0
2022-10-14-11-15-2-36439,0.0
2022-10-14-11-15-2-36458,0.0
2022-10-14-11-15-2-36472,1.0
2022-10-14-11-15-2-36490,1.0
2022-10-14-11-15-2-36506,1.0
2022-10-14-11-15-2-36522,1.0
2022-10-14-11-15-2-36540,1.0
2022-10-14-11-15-2-36556,1.0
2022-10-14-11-15-2-36573,1.0
2022-10-14-11-15-2-36589,1.0
2022-10-14-11-15-2-36606,1.0
2022-10-14-11-15-2-36622,1.0
2022-10-14-11-15-2-36639,1.0
2022-10-14-11-15-2-36656,1.0
2022-10-14-11-15-2-36673,1.0
2022-10-14-11-15-2-36690,1.0
2022-10-14-11-15-2-36708,1.0
2022-10-14-11-15-2-36722,1.0
2022-10-14-11-15-2-36739,1.0
2022-10-14-11-15-2-36756,1.0
2022-10-14-11-15-2-36773,1.0
2022-10-14-11-15-2-36789,1.0
2022-10-14-11-15-2-36807,1.0
2022-10-14-11-15-2-36823,1.0
2022-10-14-11-15-2-36839,1.0
2022-10-14-11-15-2-36856,1.0
2022-10-14-11-15-2-36876,1.0
2022-10-14-11-15-2-36889,1.0
2022-10-14-11-15-2-36906,1.0
2022-10-14-11-15-2-36923,1.0
2022-10-14-11-15-2-36941,1.0
2022-10-14-11-15-2-36956,1.0
2022-10-14-11-15-2-36972,1.0
2022-10-14-11-15-2-36989,1.0
2022-10-14-11-15-2-37006,1.0
2022-10-14-11-15-2-37023,1.0
2022-10-14-11-15-2-37042,1.0
2022-10-14-11-15-2-37056,1.0
2022-10-14-11-15-2-37072,1.0
2022-10-14-11-15-2-37089,1.0
2022-10-14-11-15-2-37106,1.0
2022-10-14-11-15-2-37125,1.0
2022-10-14-11-15-2-37140,1.0
2022-10-14-11-15-2-37155,1.0
2022-10-14-11-15-3-37172,1.0
2022-10-14-11-15-3-37190,1.0
2022-10-14-11-15-3-37207,1.0
2022-10-14-11-15-3-37224,1.0
2022-10-14-11-15-3-37240,1.0
2022-10-14-11-15-3-37256,1.0
2022-10-14-11-15-3-37273,1.0
2022-10-14-11-15-3-37290,1.0
2022-10-14-11-15-3-37306,1.0
2022-10-14-11-15-3-37322,1.0
2022-10-14-11-15-3-37339,1.0
2022-10-14-11-15-3-37356,1.0
2022-10-14-11-15-3-37374,1.0
2022-10-14-11-15-3-37389,1.0
2022-10-14-11-15-3-37406,1.0
2022-10-14-11-15-3-37422,1.0
2022-10-14-11-15-3-37440,1.0
2022-10-14-11-15-3-37457,1.0
2022-10-14-11-15-3-37473,1.0
2022-10-14-11-15-3-37489,1.0
2022-10-14-11-15-3-37507,1.0
2022-10-14-11-15-3-37523,1.0
2022-10-14-11-15-3-37542,1.0
2022-10-14-11-15-3-37557,1.0
2022-10-14-11-15-3-37572,1.0
2022-10-14-11-15-3-37591,1.0
2022-10-14-11-15-3-37607,1.0
2022-10-14-11-15-3-37622,1.0
2022-10-14-11-15-3-37640,1.0
2022-10-14-11-15-3-37656,1.0
2022-10-14-11-15-3-37672,1.0
2022-10-14-11-15-3-37691,1.0
2022-10-14-11-15-3-37705,1.0
2022-10-14-11-15-3-37722,1.0
2022-10-14-11-15-3-37741,1.0
2022-10-14-11-15-3-37757,1.0
2022-10-14-11-15-3-37774,1.0
2022-10-14-11-15-3-37792,1.0
2022-10-14-11-15-3-37806,1.0
2022-10-14-11-15-3-37824,1.0
2022-10-14-11-15-3-37840,1.0
2022-10-14-11-15-3-37857,1.0
2022-10-14-11-15-3-37875,1.0
2022-10-14-11-15-3-37892,1.0
2022-10-14-11-15-3-37908,1.0
2022-10-14-11-15-3-37924,1.0
2022-10-14-11-15-3-37942,1.0
2022-10-14-11-15-3-37958,1.0
2022-10-14-11-15-3-37972,1.0
2022-10-14-11-15-3-37989,1.0
2022-10-14-11-15-3-38006,1.0
2022-10-14-11-15-3-38024,1.0
2022-10-14-11-15-3-38042,1.0
2022-10-14-11-15-3-38058,1.0
2022-10-14-11-15-3-38073,1.0
2022-10-14-11-15-3-38091,1.0
2022-10-14-11-15-3-38107,1.0
2022-10-14-11-15-3-38123,1.0
2022-10-14-11-15-3-38140,1.0
2022-10-14-11-15-3-38158,1.0
2022-10-14-11-15-4-38175,1.0
2022-10-14-11-15-4-38190,1.0
2022-10-14-11-15-4-38206,1.0
2022-10-14-11-15-4-38225,1.0
2022-10-14-11-15-4-38240,1.0
2022-10-14-11-15-4-38256,1.0
2022-10-14-11-15-4-38275,1.0
2022-10-14-11-15-4-38292,1.0
2022-10-14-11-15-4-38306,1.0
2022-10-14-11-15-4-38323,1.0
2022-10-14-11-15-4-38342,1.0
2022-10-14-11-15-4-38358,1.0
2022-10-14-11-15-4-38375,1.0
2022-10-14-11-15-4-38391,1.0
2022-10-14-11-15-4-38407,1.0
2022-10-14-11-15-4-38425,1.0
2022-10-14-11-15-4-38441,1.0
2022-10-14-11-15-4-38457,1.0
2022-10-14-11-15-4-38472,1.0
2022-10-14-11-15-4-38491,1.0
2022-10-14-11-15-4-38506,1.0
2022-10-14-11-15-4-38523,1.0
2022-10-14-11-15-4-38539,1.0
2022-10-14-11-15-4-38558,1.0
2022-10-14-11-15-4-38573,1.0
2022-10-14-11-15-4-38589,1.0
2022-10-14-11-15-4-38606,1.0
